date,serie,valeur
2023-11-01,FXUSDCAD,1.3720
2023-11-02,FXUSDCAD,1.3731
2023-11-03,FXUSDCAD,1.3739
2023-11-06,FXUSDCAD,1.3742
2023-11-07,FXUSDCAD,1.3741
2023-11-08,FXUSDCAD,1.3738
2023-11-09,FXUSDCAD,1.3732
2023-11-10,FXUSDCAD,1.3724
2023-11-13,FXUSDCAD,1.3715
2023-11-14,FXUSDCAD,1.3705
2023-11-15,FXUSDCAD,1.3696
2023-11-16,FXUSDCAD,1.3688
2023-11-17,FXUSDCAD,1.3683
2023-11-20,FXUSDCAD,1.3679
2023-11-21,FXUSDCAD,1.3679
2023-11-22,FXUSDCAD,1.3683
2023-11-23,FXUSDCAD,1.3690
2023-11-24,FXUSDCAD,1.3702
2023-11-27,FXUSDCAD,1.3718
2023-11-28,FXUSDCAD,1.3737
2023-11-29,FXUSDCAD,1.3760
2023-11-30,FXUSDCAD,1.3787
2023-12-01,FXUSDCAD,1.3816
2023-12-04,FXUSDCAD,1.3847
2023-12-05,FXUSDCAD,1.3880
2023-12-06,FXUSDCAD,1.3913
2023-12-07,FXUSDCAD,1.3946
2023-12-08,FXUSDCAD,1.3978
2023-12-11,FXUSDCAD,1.4008
2023-12-12,FXUSDCAD,1.4036
2023-12-13,FXUSDCAD,1.4060
2023-12-14,FXUSDCAD,1.4080
2023-12-15,FXUSDCAD,1.4097
2023-12-18,FXUSDCAD,1.4109
2023-12-19,FXUSDCAD,1.4116
2023-12-20,FXUSDCAD,1.4119
2023-12-21,FXUSDCAD,1.4118
2023-12-22,FXUSDCAD,1.4113
2023-12-25,FXUSDCAD,1.4104
2023-12-26,FXUSDCAD,1.4092
2023-12-27,FXUSDCAD,1.4077
2023-12-28,FXUSDCAD,1.4062
2023-12-29,FXUSDCAD,1.4045
2024-01-01,FXUSDCAD,1.4028
2024-01-02,FXUSDCAD,1.4012
2024-01-03,FXUSDCAD,1.3998
2024-01-04,FXUSDCAD,1.3985
2024-01-05,FXUSDCAD,1.3976
2024-01-08,FXUSDCAD,1.3969
2024-01-09,FXUSDCAD,1.3967
2024-01-10,FXUSDCAD,1.3968
2024-01-11,FXUSDCAD,1.3973
2024-01-12,FXUSDCAD,1.3982
2024-01-15,FXUSDCAD,1.3995
2024-01-16,FXUSDCAD,1.4010
2024-01-17,FXUSDCAD,1.4029
2024-01-18,FXUSDCAD,1.4049
2024-01-19,FXUSDCAD,1.4071
2024-01-22,FXUSDCAD,1.4094
2024-01-23,FXUSDCAD,1.4116
2024-01-24,FXUSDCAD,1.4138
2024-01-25,FXUSDCAD,1.4157
2024-01-26,FXUSDCAD,1.4175
2024-01-29,FXUSDCAD,1.4189
2024-01-30,FXUSDCAD,1.4200
2024-01-31,FXUSDCAD,1.4206
2024-02-01,FXUSDCAD,1.4208
2024-02-02,FXUSDCAD,1.4205
2024-02-05,FXUSDCAD,1.4198
2024-02-06,FXUSDCAD,1.4186
2024-02-07,FXUSDCAD,1.4171
2024-02-08,FXUSDCAD,1.4151
2024-02-09,FXUSDCAD,1.4128
2024-02-12,FXUSDCAD,1.4103
2024-02-13,FXUSDCAD,1.4076
2024-02-14,FXUSDCAD,1.4047
2024-02-15,FXUSDCAD,1.4019
2024-02-16,FXUSDCAD,1.3991
2024-02-19,FXUSDCAD,1.3964
2024-02-20,FXUSDCAD,1.3939
2024-02-21,FXUSDCAD,1.3917
2024-02-22,FXUSDCAD,1.3898
2024-02-23,FXUSDCAD,1.3883
2024-02-26,FXUSDCAD,1.3871
2024-02-27,FXUSDCAD,1.3864
2024-02-28,FXUSDCAD,1.3860
2024-02-29,FXUSDCAD,1.3860
2024-03-01,FXUSDCAD,1.3864
2024-03-04,FXUSDCAD,1.3871
2024-03-05,FXUSDCAD,1.3880
2024-03-06,FXUSDCAD,1.3890
2024-03-07,FXUSDCAD,1.3902
2024-03-08,FXUSDCAD,1.3914
2024-03-11,FXUSDCAD,1.3926
2024-03-12,FXUSDCAD,1.3936
2024-03-13,FXUSDCAD,1.3944
2024-03-14,FXUSDCAD,1.3949
2024-03-15,FXUSDCAD,1.3951
2024-03-18,FXUSDCAD,1.3949
2024-03-19,FXUSDCAD,1.3943
2024-03-20,FXUSDCAD,1.3932
2024-03-21,FXUSDCAD,1.3918
2024-03-22,FXUSDCAD,1.3898
2024-03-25,FXUSDCAD,1.3875
2024-03-26,FXUSDCAD,1.3848
2024-03-27,FXUSDCAD,1.3818
2024-03-28,FXUSDCAD,1.3786
2024-03-29,FXUSDCAD,1.3751
2024-04-01,FXUSDCAD,1.3716
2024-04-02,FXUSDCAD,1.3680
2024-04-03,FXUSDCAD,1.3645
2024-04-04,FXUSDCAD,1.3611
2024-04-05,FXUSDCAD,1.3579
2024-04-08,FXUSDCAD,1.3550
2024-04-09,FXUSDCAD,1.3524
2024-04-10,FXUSDCAD,1.3502
2024-04-11,FXUSDCAD,1.3484
2024-04-12,FXUSDCAD,1.3470
2024-04-15,FXUSDCAD,1.3461
2024-04-16,FXUSDCAD,1.3455
2024-04-17,FXUSDCAD,1.3454
2024-04-18,FXUSDCAD,1.3456
2024-04-19,FXUSDCAD,1.3460
2024-04-22,FXUSDCAD,1.3467
2024-04-23,FXUSDCAD,1.3476
2024-04-24,FXUSDCAD,1.3485
2024-04-25,FXUSDCAD,1.3495
2024-04-26,FXUSDCAD,1.3503
2024-04-29,FXUSDCAD,1.3510
2024-04-30,FXUSDCAD,1.3515
2024-05-01,FXUSDCAD,1.3517
2024-05-02,FXUSDCAD,1.3516
2024-05-03,FXUSDCAD,1.3510
2024-05-06,FXUSDCAD,1.3501
2024-05-07,FXUSDCAD,1.3488
2024-05-08,FXUSDCAD,1.3470
2024-05-09,FXUSDCAD,1.3449
2024-05-10,FXUSDCAD,1.3424
2024-05-13,FXUSDCAD,1.3397
2024-05-14,FXUSDCAD,1.3367
2024-05-15,FXUSDCAD,1.3335
2024-05-16,FXUSDCAD,1.3302
2024-05-17,FXUSDCAD,1.3269
2024-05-20,FXUSDCAD,1.3236
2024-05-21,FXUSDCAD,1.3205
2024-05-22,FXUSDCAD,1.3176
2024-05-23,FXUSDCAD,1.3150
2024-05-24,FXUSDCAD,1.3128
2024-05-27,FXUSDCAD,1.3109
2024-05-28,FXUSDCAD,1.3094
2024-05-29,FXUSDCAD,1.3085
2024-05-30,FXUSDCAD,1.3079
2024-05-31,FXUSDCAD,1.3078
2024-06-03,FXUSDCAD,1.3082
2024-06-04,FXUSDCAD,1.3089
2024-06-05,FXUSDCAD,1.3099
2024-06-06,FXUSDCAD,1.3112
2024-06-07,FXUSDCAD,1.3128
2024-06-10,FXUSDCAD,1.3144
2024-06-11,FXUSDCAD,1.3161
2024-06-12,FXUSDCAD,1.3178
2024-06-13,FXUSDCAD,1.3193
2024-06-14,FXUSDCAD,1.3207
2024-06-17,FXUSDCAD,1.3218
2024-06-18,FXUSDCAD,1.3226
2024-06-19,FXUSDCAD,1.3231
2024-06-20,FXUSDCAD,1.3232
2024-06-21,FXUSDCAD,1.3229
2024-06-24,FXUSDCAD,1.3223
2024-06-25,FXUSDCAD,1.3212
2024-06-26,FXUSDCAD,1.3198
2024-06-27,FXUSDCAD,1.3181
2024-06-28,FXUSDCAD,1.3162
2024-07-01,FXUSDCAD,1.3141
2024-07-02,FXUSDCAD,1.3119
2024-07-03,FXUSDCAD,1.3096
2024-07-04,FXUSDCAD,1.3074
2024-07-05,FXUSDCAD,1.3053
2024-07-08,FXUSDCAD,1.3035
2024-07-09,FXUSDCAD,1.3019
2024-07-10,FXUSDCAD,1.3006
2024-07-11,FXUSDCAD,1.2998
2024-07-12,FXUSDCAD,1.2993
2024-07-15,FXUSDCAD,1.2994
2024-07-16,FXUSDCAD,1.2998
2024-07-17,FXUSDCAD,1.3008
2024-07-18,FXUSDCAD,1.3021
2024-07-19,FXUSDCAD,1.3039
2024-07-22,FXUSDCAD,1.3060
2024-07-23,FXUSDCAD,1.3085
2024-07-24,FXUSDCAD,1.3111
2024-07-25,FXUSDCAD,1.3139
2024-07-26,FXUSDCAD,1.3168
2024-07-29,FXUSDCAD,1.3196
2024-07-30,FXUSDCAD,1.3224
2024-07-31,FXUSDCAD,1.3250
2024-08-01,FXUSDCAD,1.3273
2024-08-02,FXUSDCAD,1.3294
2024-08-05,FXUSDCAD,1.3312
2024-08-06,FXUSDCAD,1.3325
2024-08-07,FXUSDCAD,1.3335
2024-08-08,FXUSDCAD,1.3341
2024-08-09,FXUSDCAD,1.3343
2024-08-12,FXUSDCAD,1.3341
2024-08-13,FXUSDCAD,1.3336
2024-08-14,FXUSDCAD,1.3329
2024-08-15,FXUSDCAD,1.3319
2024-08-16,FXUSDCAD,1.3308
2024-08-19,FXUSDCAD,1.3296
2024-08-20,FXUSDCAD,1.3284
2024-08-21,FXUSDCAD,1.3273
2024-08-22,FXUSDCAD,1.3264
2024-08-23,FXUSDCAD,1.3257
2024-08-26,FXUSDCAD,1.3253
2024-08-27,FXUSDCAD,1.3253
2024-08-28,FXUSDCAD,1.3257
2024-08-29,FXUSDCAD,1.3265
2024-08-30,FXUSDCAD,1.3278
2024-09-02,FXUSDCAD,1.3294
2024-09-03,FXUSDCAD,1.3315
2024-09-04,FXUSDCAD,1.3340
2024-09-05,FXUSDCAD,1.3369
2024-09-06,FXUSDCAD,1.3400
2024-09-09,FXUSDCAD,1.3434
2024-09-10,FXUSDCAD,1.3469
2024-09-11,FXUSDCAD,1.3505
2024-09-12,FXUSDCAD,1.3540
2024-09-13,FXUSDCAD,1.3575
2024-09-16,FXUSDCAD,1.3608
2024-09-17,FXUSDCAD,1.3639
2024-09-18,FXUSDCAD,1.3667
2024-09-19,FXUSDCAD,1.3691
2024-09-20,FXUSDCAD,1.3711
2024-09-23,FXUSDCAD,1.3727
2024-09-24,FXUSDCAD,1.3739
2024-09-25,FXUSDCAD,1.3746
2024-09-26,FXUSDCAD,1.3750
2024-09-27,FXUSDCAD,1.3750
2024-09-30,FXUSDCAD,1.3747
2024-10-01,FXUSDCAD,1.3741
2024-10-02,FXUSDCAD,1.3733
2024-10-03,FXUSDCAD,1.3724
2024-10-04,FXUSDCAD,1.3714
2024-10-07,FXUSDCAD,1.3705
2024-10-08,FXUSDCAD,1.3697
2024-10-09,FXUSDCAD,1.3691
2024-10-10,FXUSDCAD,1.3688
2024-10-11,FXUSDCAD,1.3687
2024-10-14,FXUSDCAD,1.3690
2024-10-15,FXUSDCAD,1.3697
2024-10-16,FXUSDCAD,1.3708
2024-10-17,FXUSDCAD,1.3723
2024-10-18,FXUSDCAD,1.3742
2024-10-21,FXUSDCAD,1.3765
2024-10-22,FXUSDCAD,1.3791
2024-10-23,FXUSDCAD,1.3820
2024-10-24,FXUSDCAD,1.3851
2024-10-25,FXUSDCAD,1.3883
2024-10-28,FXUSDCAD,1.3916
2024-10-29,FXUSDCAD,1.3949
2024-10-30,FXUSDCAD,1.3981
2024-10-31,FXUSDCAD,1.4011
2024-11-01,FXUSDCAD,1.4039
2024-11-04,FXUSDCAD,1.4063
2024-11-05,FXUSDCAD,1.4084
2024-11-06,FXUSDCAD,1.4101
2024-11-07,FXUSDCAD,1.4113
2024-11-08,FXUSDCAD,1.4121
2024-11-11,FXUSDCAD,1.4124
2024-11-12,FXUSDCAD,1.4123
2024-11-13,FXUSDCAD,1.4118
2024-11-14,FXUSDCAD,1.4109
2024-11-15,FXUSDCAD,1.4097
2024-11-18,FXUSDCAD,1.4083
2024-11-19,FXUSDCAD,1.4067
2024-11-20,FXUSDCAD,1.4050
2024-11-21,FXUSDCAD,1.4033
2024-11-22,FXUSDCAD,1.4017
2024-11-25,FXUSDCAD,1.4002
2024-11-26,FXUSDCAD,1.3989
2024-11-27,FXUSDCAD,1.3979
2024-11-28,FXUSDCAD,1.3972
2024-11-29,FXUSDCAD,1.3969
2024-12-02,FXUSDCAD,1.3970
2024-12-03,FXUSDCAD,1.3974
2024-12-04,FXUSDCAD,1.3982
2024-12-05,FXUSDCAD,1.3994
2024-12-06,FXUSDCAD,1.4009
2024-12-09,FXUSDCAD,1.4027
2024-12-10,FXUSDCAD,1.4047
2024-12-11,FXUSDCAD,1.4069
2024-12-12,FXUSDCAD,1.4091
2024-12-13,FXUSDCAD,1.4114
2024-12-16,FXUSDCAD,1.4135
2024-12-17,FXUSDCAD,1.4155
2024-12-18,FXUSDCAD,1.4172
2024-12-19,FXUSDCAD,1.4186
2024-12-20,FXUSDCAD,1.4197
2024-12-23,FXUSDCAD,1.4204
2024-12-24,FXUSDCAD,1.4206
2024-12-25,FXUSDCAD,1.4204
2024-12-26,FXUSDCAD,1.4197
2024-12-27,FXUSDCAD,1.4185
2024-12-30,FXUSDCAD,1.4170
2024-12-31,FXUSDCAD,1.4150
2025-01-01,FXUSDCAD,1.4128
2025-01-02,FXUSDCAD,1.4102
2025-01-03,FXUSDCAD,1.4075
2025-01-06,FXUSDCAD,1.4046
2025-01-07,FXUSDCAD,1.4018
2025-01-08,FXUSDCAD,1.3989
2025-01-09,FXUSDCAD,1.3962
2025-01-10,FXUSDCAD,1.3937
2025-01-13,FXUSDCAD,1.3914
2025-01-14,FXUSDCAD,1.3895
2025-01-15,FXUSDCAD,1.3879
2025-01-16,FXUSDCAD,1.3867
2025-01-17,FXUSDCAD,1.3859
2025-01-20,FXUSDCAD,1.3855
2025-01-21,FXUSDCAD,1.3854
2025-01-22,FXUSDCAD,1.3857
2025-01-23,FXUSDCAD,1.3864
2025-01-24,FXUSDCAD,1.3872
2025-01-27,FXUSDCAD,1.3883
2025-01-28,FXUSDCAD,1.3894
2025-01-29,FXUSDCAD,1.3906
2025-01-30,FXUSDCAD,1.3918
2025-01-31,FXUSDCAD,1.3928
2025-02-03,FXUSDCAD,1.3936
2025-02-04,FXUSDCAD,1.3941
2025-02-05,FXUSDCAD,1.3943
2025-02-06,FXUSDCAD,1.3942
2025-02-07,FXUSDCAD,1.3936
2025-02-10,FXUSDCAD,1.3926
2025-02-11,FXUSDCAD,1.3912
2025-02-12,FXUSDCAD,1.3893
2025-02-13,FXUSDCAD,1.3870
2025-02-14,FXUSDCAD,1.3843
2025-02-17,FXUSDCAD,1.3813
2025-02-18,FXUSDCAD,1.3781
2025-02-19,FXUSDCAD,1.3747
